factype,latitude,longitude
PUBLIC K-12 SCHOOLS,40.7180093769,-74.0138273315
PUBLIC K-12 SCHOOLS,40.6710652565,-73.9077621188
PUBLIC K-12 SCHOOLS,40.864052,-73.823842
PUBLIC K-12 SCHOOLS,40.6336191407,-73.9662981135
PUBLIC K-12 SCHOOLS,40.7193679551,-73.9796194441
PUBLIC K-12 SCHOOLS,40.6537247032,-73.8939739527
PUBLIC K-12 SCHOOLS,40.795046714,-73.9478619826
PUBLIC K-12 SCHOOLS,40.7364182575,-73.9957368342
PUBLIC K-12 SCHOOLS,40.8147358767,-73.9120501931
PUBLIC K-12 SCHOOLS,40.7271082439,-73.7345063486
PUBLIC K-12 SCHOOLS,40.8595140388,-73.8885992575
PUBLIC K-12 SCHOOLS,40.6853364501,-73.9226052232
PUBLIC K-12 SCHOOLS,40.7779278902,-73.9472990454
PUBLIC K-12 SCHOOLS,40.6739382132,-73.951359525
PUBLIC K-12 SCHOOLS,40.6366389939,-74.1169215599
PUBLIC K-12 SCHOOLS,40.8069784326,-73.9386100884
PUBLIC K-12 SCHOOLS,40.810789449,-73.9560968549
PUBLIC K-12 SCHOOLS,40.7912880242,-73.947573361
PUBLIC K-12 SCHOOLS,40.5945446249,-73.7948366537
PUBLIC K-12 SCHOOLS,40.855598693,-73.9261913805
PUBLIC K-12 SCHOOLS,40.6339301631,-73.9082541849
PUBLIC K-12 SCHOOLS,40.8363038936,-73.8906460426
PUBLIC K-12 SCHOOLS,40.8395813391,-73.9113031425
